2000 2000 20 0
1466 561 32 20 1
212 1555 35 20 1
659 1722 25 20 1
1902 846 27 20 1
956 974 36 20 1
1857 1365 25 20 1
684 1110 24 20 1
618 605 35 20 1
589 1229 34 20 1
1941 1766 20 20 1
1835 868 20 20 1
655 1710 34 20 1
1986 944 39 20 1
1718 899 22 20 1
1673 1389 22 20 1
1793 1140 37 20 1
1951 6 25 20 1
696 610 25 20 1
1728 598 25 20 1
1457 685 24 20 1
1573 1315 21 20 1
50 257 36 20 1
425 668 30 20 1
863 1014 27 20 1
1898 805 37 20 1
781 1733 24 20 1
1673 1437 37 20 1
1443 1659 25 20 1
382 1162 34 20 1
558 56 33 20 1
552 352 33 20 1
1196 503 27 20 1
358 1893 29 20 1
1114 87 39 20 1
491 571 35 20 1
772 65 26 20 1
1886 822 24 20 1
323 312 39 20 1
1491 1186 22 20 1
1327 1389 38 20 1
1991 109 20 20 1
1123 1665 22 20 1
1546 567 33 20 1
1324 1929 20 20 1
1729 1883 25 20 1
1985 281 35 20 1
235 1182 37 20 1
785 594 31 20 1
1075 1899 21 20 1
681 1567 23 20 1
471 1454 35 20 1
1633 357 23 20 1
277 1956 39 20 1
669 1768 26 20 1
1143 1997 31 20 1
1158 1135 37 20 1
106 281 30 20 1
800 1652 28 20 1
848 125 23 20 1
1582 578 25 20 1
8 1567 22 20 1
859 244 36 20 1
750 1644 33 20 1
838 1825 32 20 1
1544 1520 35 20 1
1393 15 29 20 1
974 1026 38 20 1
372 1251 39 20 1
983 1042 29 20 1
1020 126 20 20 1
1039 178 38 20 1
1262 1145 29 20 1
460 62 23 20 1
798 1309 32 20 1
187 381 29 20 1
1887 196 29 20 1
1948 747 27 20 1
440 699 27 20 1
392 1278 20 20 1
524 1936 29 20 1
798 1918 30 20 1
1951 1772 35 20 1
944 324 33 20 1
1024 1927 30 20 1
1367 44 21 20 1
54 407 24 20 1
223 1316 28 20 1
1553 684 32 20 1
1379 352 33 20 1
1993 1566 31 20 1
733 1881 37 20 1
1762 682 36 20 1
628 202 27 20 1
1381 1021 31 20 1
1481 1906 28 20 1
957 280 23 20 1
1824 909 20 20 1
52 769 27 20 1
1234 1077 23 20 1
697 601 29 20 1
1121 751 28 20 1
1009 1345 22 20 1
68 562 39 20 1
29 1447 32 20 1
914 23 34 20 1
1014 1648 29 20 1
1904 777 21 20 1
330 533 22 20 1
980 1712 36 20 1
1554 461 22 20 1
1618 512 31 20 1
741 1442 26 20 1
1421 794 37 20 1
211 655 25 20 1
1871 908 37 20 1
1257 993 39 20 1
1660 266 29 20 1
338 1728 25 20 1
828 368 32 20 1
1176 1743 23 20 1
391 190 36 20 1
1392 295 30 20 1
967 1722 39 20 1
828 1947 24 20 1
1435 383 21 20 1
409 1053 27 20 1
895 1150 28 20 1
495 317 22 20 1
1945 707 34 20 1
972 1817 31 20 1
1616 229 31 20 1
811 1277 23 20 1
495 1149 33 20 1
1006 1324 31 20 1
1517 182 35 20 1
1068 1908 28 20 1
372 460 20 20 1
204 1340 37 20 1
183 1033 30 20 1
1288 1618 36 20 1
1416 1697 39 20 1
672 312 22 20 1
848 1168 23 20 1
629 794 37 20 1
1875 1602 27 20 1
611 1492 20 20 1
1831 1422 37 20 1
769 327 37 20 1
572 1775 25 20 1
1652 90 29 20 1
1958 720 20 20 1
1999 331 22 20 1
1181 203 39 20 1
1671 1365 39 20 1
1237 960 27 20 1
984 654 21 20 1
657 1656 27 20 1
966 1506 35 20 1
824 1596 24 20 1
300 700 22 20 1
1198 912 26 20 1
193 1029 35 20 1
335 963 25 20 1
1357 907 20 20 1
738 1009 27 20 1
998 697 21 20 1
1730 997 28 20 1
1028 911 27 20 1
1201 700 38 20 1
277 438 39 20 1
1660 1261 23 20 1
1093 318 37 20 1
917 59 21 20 1
1824 1742 27 20 1
1656 125 34 20 1
442 854 29 20 1
1037 636 27 20 1
1884 1373 31 20 1
1599 1241 26 20 1
281 338 33 20 1
251 1279 21 20 1
1035 1981 27 20 1
277 63 36 20 1
893 1479 21 20 1
763 1170 26 20 1
1918 424 23 20 1
431 1011 23 20 1
742 1349 34 20 1
1071 566 38 20 1
1091 727 27 20 1
692 1534 36 20 1
1582 1730 25 20 1
170 1466 23 20 1
1103 1770 21 20 1
708 1384 26 20 1
108 959 30 20 1
664 1143 22 20 1
941 941 35 20 1
1207 1834 37 20 1
420 1971 21 20 1
1004 338 34 20 1
395 1436 21 20 1
1350 1137 38 20 1
786 421 36 20 1
1704 1878 28 20 1
1148 396 33 20 1
1413 731 25 20 1
126 1584 35 20 1
197 1230 24 20 1
1354 906 32 20 1
614 1462 29 20 1
1866 1278 25 20 1
605 807 39 20 1
220 1813 25 20 1
642 640 27 20 1
1784 1647 26 20 1
979 179 29 20 1
1084 329 30 20 1
1316 1870 20 20 1
750 1021 27 20 1
1748 1899 37 20 1
1417 1161 36 20 1
630 1544 33 20 1
745 828 20 20 1
774 99 38 20 1
1734 1389 39 20 1
1561 1601 30 20 1
667 167 21 20 1
408 887 35 20 1
1980 1051 28 20 1
1528 1765 22 20 1
698 507 29 20 1
1944 1782 29 20 1
837 1261 20 20 1
1652 1587 25 20 1
282 1401 37 20 1
1487 1700 33 20 1
562 118 31 20 1
1244 1308 33 20 1
946 19 38 20 1
1407 681 23 20 1
1408 969 22 20 1
282 76 24 20 1
1137 691 23 20 1
964 1118 28 20 1
1742 492 31 20 1
883 440 29 20 1
1000 827 37 20 1
223 1837 22 20 1
89 1876 29 20 1
1424 371 25 20 1
1277 912 39 20 1
